code,name,category_name,brand_name,model,serial_number,description,condition
AST00084,"LG Audio Pro",Audio,LG,"Pro 2215",SN00000084,"Industrial equipment - Unit 84",damage
AST00085,"Microsoft Computers Advanced",Computers,Microsoft,"Advanced 8038",SN00000085,"Budget friendly - Unit 85",good
AST00086,"Lenovo Printers Max",Printers,Lenovo,"Max 7893",SN00000086,"Reliable office equipment - Unit 86",good
AST00087,"Samsung Cameras Max",Cameras,Samsung,"Max 5179",SN00000087,"Desktop unit - Unit 87",good
AST00088,"Razer Audio Plus",Audio,Razer,"Plus 2141",SN00000088,"High-performance device - Unit 88",good
AST00089,"Microsoft Networking Plus",Networking,Microsoft,"Plus 8535",SN00000089,"Portable device - Unit 89",damage
AST00090,"Lenovo Peripherals Advanced",Peripherals,Lenovo,"Advanced 4950",SN00000090,"Industrial equipment - Unit 90",damage
AST00091,"HP Peripherals Ultra",Peripherals,HP,"Ultra 9866",SN00000091,"Desktop unit - Unit 91",good
AST00092,"Corsair Computers Plus",Computers,Corsair,"Plus 3898",SN00000092,"Enterprise solution - Unit 92",damage
AST00093,"Dell Networking Lite",Networking,Dell,"Lite 7296",SN00000093,"Reliable office equipment - Unit 93",good
AST00094,"LG Storage Deluxe",Storage,LG,"Deluxe 1204",SN00000094,"Enterprise solution - Unit 94",damage
AST00095,"Samsung Printers Plus",Printers,Samsung,"Plus 5295",SN00000095,"Budget friendly - Unit 95",damage
AST00096,"HP Printers Deluxe",Printers,HP,"Deluxe 4564",SN00000096,"Budget friendly - Unit 96",good
AST00097,"Apple Computers Advanced",Computers,Apple,"Advanced 2173",SN00000097,"Desktop unit - Unit 97",damage
AST00098,"Epson Peripherals Max",Peripherals,Epson,"Max 5694",SN00000098,"Reliable office equipment - Unit 98",good
AST00099,"Logitech Projectors Lite",Projectors,Logitech,"Lite 5511",SN00000099,"Industrial equipment - Unit 99",damage
AST00100,"Samsung Printers Advanced",Printers,Samsung,"Advanced 1831",SN00000100,"Reliable office equipment - Unit 100",damage
AST00101,"Corsair Cameras Standard",Cameras,Corsair,"Standard 7481",SN00000101,"Budget friendly - Unit 101",damage
AST00102,"Dell Accessories Premium",Accessories,Dell,"Premium 6548",SN00000102,"Consumer grade - Unit 102",damage
AST00103,"Razer Peripherals Plus",Peripherals,Razer,"Plus 7238",SN00000103,"Desktop unit - Unit 103",damage
AST00104,"Canon Accessories Plus",Accessories,Canon,"Plus 6167",SN00000104,"Enterprise solution - Unit 104",damage
AST00105,"Samsung Printers Pro",Printers,Samsung,"Pro 7503",SN00000105,"Reliable office equipment - Unit 105",damage
AST00106,"Canon Storage Pro",Storage,Canon,"Pro 2395",SN00000106,"Industrial equipment - Unit 106",damage
AST00107,"Lenovo Networking Premium",Networking,Lenovo,"Premium 8535",SN00000107,"Portable device - Unit 107",good
AST00108,"Logitech Computers Pro",Computers,Logitech,"Pro 7106",SN00000108,"Enterprise solution - Unit 108",good
AST00109,"Corsair Printers Lite",Printers,Corsair,"Lite 8053",SN00000109,"Desktop unit - Unit 109",good
AST00110,"Acer Cameras Basic",Cameras,Acer,"Basic 5268",SN00000110,"Enterprise solution - Unit 110",good
AST00111,"Netgear Computers Standard",Computers,Netgear,"Standard 8016",SN00000111,"Reliable office equipment - Unit 111",good
AST00112,"LG Printers Max",Printers,LG,"Max 6924",SN00000112,"Budget friendly - Unit 112",damage
AST00113,"Microsoft Monitors Standard",Monitors,Microsoft,"Standard 6747",SN00000113,"Enterprise solution - Unit 113",good
AST00114,"Razer Monitors Pro",Monitors,Razer,"Pro 2016",SN00000114,"Portable device - Unit 114",damage
AST00115,"Netgear Networking Deluxe",Networking,Netgear,"Deluxe 4248",SN00000115,"Consumer grade - Unit 115",good
AST00116,"Dell Peripherals Deluxe",Peripherals,Dell,"Deluxe 9017",SN00000116,"Professional grade - Unit 116",damage
AST00117,"Samsung Peripherals Basic",Peripherals,Samsung,"Basic 6712",SN00000117,"Budget friendly - Unit 117",good
AST00118,"Netgear Monitors Standard",Monitors,Netgear,"Standard 3121",SN00000118,"Portable device - Unit 118",damage
AST00119,"Apple Storage Deluxe",Storage,Apple,"Deluxe 8262",SN00000119,"Professional grade - Unit 119",good
AST00120,"Microsoft Monitors Pro",Monitors,Microsoft,"Pro 7990",SN00000120,"Desktop unit - Unit 120",good
AST00121,"Canon Computers Premium",Computers,Canon,"Premium 8878",SN00000121,"Consumer grade - Unit 121",good
AST00122,"HP Cameras Plus",Cameras,HP,"Plus 5958",SN00000122,"High-performance device - Unit 122",damage
AST00123,"Logitech Monitors Lite",Monitors,Logitech,"Lite 4706",SN00000123,"Compact model - Unit 123",good
AST00124,"Logitech Computers Ultra",Computers,Logitech,"Ultra 3673",SN00000124,"Enterprise solution - Unit 124",good
AST00125,"Razer Printers Plus",Printers,Razer,"Plus 8134",SN00000125,"Reliable office equipment - Unit 125",damage
AST00126,"Apple Accessories Pro",Accessories,Apple,"Pro 9145",SN00000126,"Portable device - Unit 126",damage
AST00127,"Logitech Networking Standard",Networking,Logitech,"Standard 3975",SN00000127,"Desktop unit - Unit 127",damage
AST00128,"Lenovo Computers Deluxe",Computers,Lenovo,"Deluxe 6158",SN00000128,"Industrial equipment - Unit 128",damage
AST00129,"Lenovo Accessories Standard",Accessories,Lenovo,"Standard 7133",SN00000129,"Enterprise solution - Unit 129",good
AST00130,"Lenovo Accessories Plus",Accessories,Lenovo,"Plus 3573",SN00000130,"Desktop unit - Unit 130",damage
AST00131,"Netgear Monitors Ultra",Monitors,Netgear,"Ultra 8641",SN00000131,"Desktop unit - Unit 131",damage
AST00132,"Lenovo Printers Deluxe",Printers,Lenovo,"Deluxe 8508",SN00000132,"Compact model - Unit 132",damage
AST00133,"LG Projectors Basic",Projectors,LG,"Basic 1000",SN00000133,"Budget friendly - Unit 133",damage
AST00134,"Netgear Accessories Plus",Accessories,Netgear,"Plus 3223",SN00000134,"Reliable office equipment - Unit 134",good
AST00135,"Corsair Storage Deluxe",Storage,Corsair,"Deluxe 5580",SN00000135,"Reliable office equipment - Unit 135",damage
AST00136,"Apple Computers Premium",Computers,Apple,"Premium 1363",SN00000136,"Consumer grade - Unit 136",damage
AST00137,"Netgear Storage Deluxe",Storage,Netgear,"Deluxe 2907",SN00000137,"High-performance device - Unit 137",good
AST00138,"Samsung Networking Premium",Networking,Samsung,"Premium 9764",SN00000138,"Budget friendly - Unit 138",damage
AST00139,"Logitech Cameras Plus",Cameras,Logitech,"Plus 3593",SN00000139,"Consumer grade - Unit 139",damage
AST00140,"Netgear Networking Premium",Networking,Netgear,"Premium 3057",SN00000140,"Budget friendly - Unit 140",damage
AST00141,"Microsoft Computers Advanced",Computers,Microsoft,"Advanced 2284",SN00000141,"Enterprise solution - Unit 141",damage
AST00142,"Netgear Peripherals Ultra",Peripherals,Netgear,"Ultra 7503",SN00000142,"Desktop unit - Unit 142",damage
AST00143,"Netgear Networking Plus",Networking,Netgear,"Plus 6845",SN00000143,"Enterprise solution - Unit 143",damage
AST00144,"Epson Storage Pro",Storage,Epson,"Pro 3753",SN00000144,"Portable device - Unit 144",damage
AST00145,"HP Storage Lite",Storage,HP,"Lite 4133",SN00000145,"Budget friendly - Unit 145",damage
AST00146,"Epson Accessories Deluxe",Accessories,Epson,"Deluxe 2806",SN00000146,"Compact model - Unit 146",good
AST00147,"Dell Networking Premium",Networking,Dell,"Premium 2428",SN00000147,"Industrial equipment - Unit 147",good
AST00148,"Canon Monitors Ultra",Monitors,Canon,"Ultra 3735",SN00000148,"Enterprise solution - Unit 148",good
AST00149,"Apple Computers Lite",Computers,Apple,"Lite 9052",SN00000149,"Industrial equipment - Unit 149",good
AST00150,"Corsair Computers Standard",Computers,Corsair,"Standard 5688",SN00000150,"Consumer grade - Unit 150",good
AST00151,"Corsair Accessories Deluxe",Accessories,Corsair,"Deluxe 6581",SN00000151,"High-performance device - Unit 151",damage
AST00152,"Corsair Peripherals Basic",Peripherals,Corsair,"Basic 3306",SN00000152,"Professional grade - Unit 152",damage
AST00153,"ASUS Computers Plus",Computers,ASUS,"Plus 2080",SN00000153,"Enterprise solution - Unit 153",damage
AST00154,"Epson Accessories Basic",Accessories,Epson,"Basic 1269",SN00000154,"Consumer grade - Unit 154",damage
AST00155,"Logitech Projectors Lite",Projectors,Logitech,"Lite 8764",SN00000155,"Budget friendly - Unit 155",good
AST00156,"Logitech Audio Standard",Audio,Logitech,"Standard 2232",SN00000156,"Industrial equipment - Unit 156",damage
AST00157,"ASUS Projectors Lite",Projectors,ASUS,"Lite 7796",SN00000157,"Consumer grade - Unit 157",good
AST00158,"Epson Storage Standard",Storage,Epson,"Standard 6254",SN00000158,"High-performance device - Unit 158",damage
AST00159,"Netgear Printers Ultra",Printers,Netgear,"Ultra 6121",SN00000159,"Portable device - Unit 159",damage
AST00160,"Epson Peripherals Advanced",Peripherals,Epson,"Advanced 4440",SN00000160,"Desktop unit - Unit 160",damage
AST00161,"Samsung Computers Basic",Computers,Samsung,"Basic 7450",SN00000161,"Budget friendly - Unit 161",good
AST00162,"Lenovo Networking Max",Networking,Lenovo,"Max 3115",SN00000162,"Consumer grade - Unit 162",good
AST00163,"Acer Computers Max",Computers,Acer,"Max 8064",SN00000163,"Budget friendly - Unit 163",good
AST00164,"Lenovo Storage Deluxe",Storage,Lenovo,"Deluxe 8685",SN00000164,"Reliable office equipment - Unit 164",damage
AST00165,"Dell Peripherals Max",Peripherals,Dell,"Max 5734",SN00000165,"Compact model - Unit 165",good
AST00166,"Dell Peripherals Plus",Peripherals,Dell,"Plus 3000",SN00000166,"Industrial equipment - Unit 166",good
AST00167,"Lenovo Audio Lite",Audio,Lenovo,"Lite 6143",SN00000167,"High-performance device - Unit 167",damage
AST00168,"Epson Peripherals Pro",Peripherals,Epson,"Pro 9236",SN00000168,"High-performance device - Unit 168",good
AST00169,"ASUS Printers Plus",Printers,ASUS,"Plus 1067",SN00000169,"Budget friendly - Unit 169",damage
AST00170,"Samsung Projectors Plus",Projectors,Samsung,"Plus 6356",SN00000170,"Compact model - Unit 170",damage
AST00171,"LG Computers Advanced",Computers,LG,"Advanced 7156",SN00000171,"Desktop unit - Unit 171",damage
AST00172,"HP Peripherals Deluxe",Peripherals,HP,"Deluxe 4622",SN00000172,"Compact model - Unit 172",damage
AST00173,"Lenovo Audio Plus",Audio,Lenovo,"Plus 1203",SN00000173,"Portable device - Unit 173",damage
AST00174,"Samsung Peripherals Plus",Peripherals,Samsung,"Plus 3145",SN00000174,"Professional grade - Unit 174",damage
AST00175,"Apple Computers Standard",Computers,Apple,"Standard 9013",SN00000175,"Consumer grade - Unit 175",damage
AST00176,"LG Computers Max",Computers,LG,"Max 3654",SN00000176,"Budget friendly - Unit 176",good
AST00177,"Logitech Cameras Plus",Cameras,Logitech,"Plus 3184",SN00000177,"Compact model - Unit 177",damage
AST00178,"Samsung Networking Standard",Networking,Samsung,"Standard 4465",SN00000178,"Consumer grade - Unit 178",damage
AST00179,"Netgear Peripherals Basic",Peripherals,Netgear,"Basic 9331",SN00000179,"Consumer grade - Unit 179",damage
AST00180,"Acer Monitors Deluxe",Monitors,Acer,"Deluxe 2620",SN00000180,"Portable device - Unit 180",good
AST00181,"HP Networking Max",Networking,HP,"Max 8785",SN00000181,"Consumer grade - Unit 181",good
AST00182,"Razer Peripherals Max",Peripherals,Razer,"Max 2477",SN00000182,"Professional grade - Unit 182",good
AST00183,"Logitech Printers Standard",Printers,Logitech,"Standard 4605",SN00000183,"Professional grade - Unit 183",damage
AST00184,"ASUS Cameras Lite",Cameras,ASUS,"Lite 3130",SN00000184,"Budget friendly - Unit 184",good
AST00185,"Razer Projectors Standard",Projectors,Razer,"Standard 6877",SN00000185,"Consumer grade - Unit 185",damage
AST00186,"Logitech Computers Max",Computers,Logitech,"Max 8071",SN00000186,"Compact model - Unit 186",good
AST00187,"Netgear Projectors Standard",Projectors,Netgear,"Standard 5395",SN00000187,"Compact model - Unit 187",damage
AST00188,"Logitech Audio Ultra",Audio,Logitech,"Ultra 5615",SN00000188,"Budget friendly - Unit 188",good
AST00189,"Dell Monitors Deluxe",Monitors,Dell,"Deluxe 4525",SN00000189,"High-performance device - Unit 189",damage
AST00190,"LG Projectors Standard",Projectors,LG,"Standard 1327",SN00000190,"Professional grade - Unit 190",good
AST00191,"Samsung Monitors Max",Monitors,Samsung,"Max 1087",SN00000191,"Desktop unit - Unit 191",damage
AST00192,"Netgear Printers Basic",Printers,Netgear,"Basic 1837",SN00000192,"Reliable office equipment - Unit 192",good
AST00193,"Apple Computers Plus",Computers,Apple,"Plus 5395",SN00000193,"Portable device - Unit 193",damage
AST00194,"Acer Storage Basic",Storage,Acer,"Basic 3798",SN00000194,"Professional grade - Unit 194",good
AST00195,"ASUS Networking Max",Networking,ASUS,"Max 4883",SN00000195,"Industrial equipment - Unit 195",good
AST00196,"Logitech Projectors Pro",Projectors,Logitech,"Pro 1026",SN00000196,"Portable device - Unit 196",good
AST00197,"Acer Projectors Pro",Projectors,Acer,"Pro 7951",SN00000197,"Industrial equipment - Unit 197",good
AST00198,"Netgear Projectors Plus",Projectors,Netgear,"Plus 7578",SN00000198,"Compact model - Unit 198",good
AST00199,"Dell Peripherals Premium",Peripherals,Dell,"Premium 9928",SN00000199,"Portable device - Unit 199",damage
AST00200,"Corsair Printers Pro",Printers,Corsair,"Pro 7521",SN00000200,"Professional grade - Unit 200",damage
AST00201,"Epson Peripherals Advanced",Peripherals,Epson,"Advanced 9312",SN00000201,"Reliable office equipment - Unit 201",damage
AST00202,"Apple Computers Pro",Computers,Apple,"Pro 4858",SN00000202,"Compact model - Unit 202",good
AST00203,"LG Monitors Basic",Monitors,LG,"Basic 8152",SN00000203,"Industrial equipment - Unit 203",damage
AST00204,"Apple Networking Pro",Networking,Apple,"Pro 4554",SN00000204,"Portable device - Unit 204",good
AST00205,"Canon Accessories Max",Accessories,Canon,"Max 9865",SN00000205,"Desktop unit - Unit 205",damage
AST00206,"Lenovo Peripherals Plus",Peripherals,Lenovo,"Plus 8675",SN00000206,"High-performance device - Unit 206",good
AST00207,"Lenovo Networking Deluxe",Networking,Lenovo,"Deluxe 7097",SN00000207,"High-performance device - Unit 207",good
AST00208,"Microsoft Accessories Plus",Accessories,Microsoft,"Plus 7621",SN00000208,"High-performance device - Unit 208",damage
AST00209,"Netgear Cameras Deluxe",Cameras,Netgear,"Deluxe 4135",SN00000209,"Budget friendly - Unit 209",damage
AST00210,"Apple Monitors Lite",Monitors,Apple,"Lite 4676",SN00000210,"Professional grade - Unit 210",damage
AST00211,"Razer Storage Max",Storage,Razer,"Max 7634",SN00000211,"High-performance device - Unit 211",good
AST00212,"Samsung Peripherals Standard",Peripherals,Samsung,"Standard 6927",SN00000212,"Professional grade - Unit 212",damage
AST00213,"Apple Storage Ultra",Storage,Apple,"Ultra 4248",SN00000213,"Desktop unit - Unit 213",good
AST00214,"Razer Audio Max",Audio,Razer,"Max 6785",SN00000214,"Professional grade - Unit 214",good
AST00215,"Samsung Peripherals Pro",Peripherals,Samsung,"Pro 9375",SN00000215,"High-performance device - Unit 215",damage
AST00216,"Razer Peripherals Premium",Peripherals,Razer,"Premium 1520",SN00000216,"Professional grade - Unit 216",good
AST00217,"Dell Networking Basic",Networking,Dell,"Basic 3680",SN00000217,"Compact model - Unit 217",damage
AST00218,"Canon Audio Deluxe",Audio,Canon,"Deluxe 2398",SN00000218,"Industrial equipment - Unit 218",good
AST00219,"Lenovo Printers Standard",Printers,Lenovo,"Standard 9530",SN00000219,"Consumer grade - Unit 219",damage
AST00220,"Epson Networking Plus",Networking,Epson,"Plus 7359",SN00000220,"Portable device - Unit 220",damage
AST00221,"Canon Printers Pro",Printers,Canon,"Pro 6449",SN00000221,"High-performance device - Unit 221",good
AST00222,"Acer Peripherals Premium",Peripherals,Acer,"Premium 3456",SN00000222,"Professional grade - Unit 222",good
AST00223,"LG Peripherals Max",Peripherals,LG,"Max 3128",SN00000223,"Professional grade - Unit 223",damage
AST00224,"Logitech Audio Deluxe",Audio,Logitech,"Deluxe 7692",SN00000224,"Enterprise solution - Unit 224",good
AST00225,"Dell Storage Deluxe",Storage,Dell,"Deluxe 3092",SN00000225,"Enterprise solution - Unit 225",damage
AST00226,"LG Accessories Plus",Accessories,LG,"Plus 3890",SN00000226,"Desktop unit - Unit 226",good
AST00227,"Dell Peripherals Deluxe",Peripherals,Dell,"Deluxe 5819",SN00000227,"Reliable office equipment - Unit 227",good
AST00228,"Lenovo Audio Lite",Audio,Lenovo,"Lite 3833",SN00000228,"Consumer grade - Unit 228",damage
AST00229,"Apple Networking Lite",Networking,Apple,"Lite 8144",SN00000229,"Compact model - Unit 229",damage
AST00230,"Logitech Storage Max",Storage,Logitech,"Max 3233",SN00000230,"Portable device - Unit 230",good
AST00231,"HP Computers Standard",Computers,HP,"Standard 8487",SN00000231,"Reliable office equipment - Unit 231",damage
AST00232,"ASUS Audio Advanced",Audio,ASUS,"Advanced 8993",SN00000232,"High-performance device - Unit 232",damage
AST00233,"Netgear Printers Advanced",Printers,Netgear,"Advanced 5516",SN00000233,"Portable device - Unit 233",good
AST00234,"Samsung Projectors Basic",Projectors,Samsung,"Basic 9795",SN00000234,"Industrial equipment - Unit 234",damage
AST00235,"HP Cameras Plus",Cameras,HP,"Plus 8360",SN00000235,"Reliable office equipment - Unit 235",good
AST00236,"Samsung Accessories Ultra",Accessories,Samsung,"Ultra 8726",SN00000236,"Portable device - Unit 236",damage
AST00237,"Apple Peripherals Premium",Peripherals,Apple,"Premium 4677",SN00000237,"Reliable office equipment - Unit 237",damage
AST00238,"Acer Cameras Premium",Cameras,Acer,"Premium 4083",SN00000238,"Professional grade - Unit 238",damage
AST00239,"Corsair Printers Deluxe",Printers,Corsair,"Deluxe 3433",SN00000239,"Consumer grade - Unit 239",damage
AST00240,"Canon Projectors Plus",Projectors,Canon,"Plus 7370",SN00000240,"Professional grade - Unit 240",good
AST00241,"Netgear Accessories Plus",Accessories,Netgear,"Plus 2707",SN00000241,"Industrial equipment - Unit 241",damage
AST00242,"Canon Cameras Standard",Cameras,Canon,"Standard 4304",SN00000242,"Budget friendly - Unit 242",damage
AST00243,"Samsung Projectors Plus",Projectors,Samsung,"Plus 5336",SN00000243,"High-performance device - Unit 243",damage
